ID,FROM,TO,SPEED,COST,TLEVEL,DEATHS,LENGTH,POP
1,28,32,1,1,1,1,971910.5982,646.7
2,3,32,1,1,1,1,717513.1369,243.8
3,35,28,1,1,1,1,1337284.918,65.12
4,6,33,1,1,1,1,329070.382,5263.549451
5,27,4,1,1,1,1,443546.6083,1187
6,2,29,1,1,1,1,397896.8926,1669.72619
7,16,18,1,1,1,1,153397.1521,1240.7936
8,16,9,1,1,1,1,112721.5985,334.9
9,9,2,1,1,1,1,282823.6503,334.9
10,18,2,1,1,1,1,334354.3515,1131.67619
11,33,11,1,1,1,1,910403.0994,950.2234971
12,33,13,1,1,1,1,1180864.122,2395.678156
13,33,21,1,1,1,1,528376.1434,1917.647795
14,4,34,1,1,1,1,519129.29,0
15,5,19,1,1,1,1,800451.4547,0.104
16,5,23,1,1,1,1,851367.8929,230.3193333
17,19,23,1,1,1,1,130657.0087,0.289
18,30,17,1,1,1,1,356581.3624,60.25
19,17,23,1,1,1,1,299331.8766,60.25
20,23,25,1,1,1,1,789924.605,290.8583333
21,25,20,1,1,1,1,660790.0944,387.7677778
22,20,33,1,1,1,1,910398.1645,190.36
23,32,1,1,1,1,1,1193163.023,890.5
24,1,15,1,1,1,1,459456.4757,12.196
25,4,6,1,1,1,1,460521.4136,6143.9375
26,29,27,1,1,1,1,254180.9153,1129
27,34,12,1,1,1,1,210665.4512,0
28,12,33,1,1,1,1,211159.3699,0
29,12,21,1,1,1,1,466133.4758,0
30,15,18,1,1,1,1,414666.901,10.0064
31,26,2,1,1,1,1,370954.696,203.15
32,16,26,1,1,1,1,97403.99072,203.15
33,30,19,1,1,1,1,420415.474,0.185
34,10,1,1,1,1,1,972659.1545,634.04
35,10,3,1,1,1,1,901737.2698,698.4
36,24,35,1,1,1,1,690177.1962,65.12
37,14,28,1,1,1,1,1212478.278,581.575
38,1,16,1,1,1,1,670753.597,1512.34368
39,16,8,1,1,1,1,1159519.474,81.76944444
40,8,25,1,1,1,1,592984.6631,81.76944444
41,15,29,1,1,1,1,693822.4295,14.42620968
42,18,29,1,1,1,1,430065.1955,119.123
43,7,25,1,1,1,1,542317.3354,15.14
44,31,7,1,1,1,1,356486.9017,15.14
45,20,22,1,1,1,1,942367.4565,197.41
